2,3,4,5,7,8,9,10,12,14,16,17,18,23,24,25,26,27,28,29,30,31,35,36,37,40,41,42,45,46,47,48,51,53,54,55,56,57,58,60,62,63,64,66,68,69,71,72,77,80,81,83,84,85,86,87,89,92,95,96,97,98,99,100
1,2,4,5,8,9,10,11,13,15,16,17,18,19,20,21,27,28,30,31,32,33,34,35,36,40,41,42,44,46,49,50,51,52,53,55,56,57,58,59,60,62,67,68,70,72,74,75,76,78,81,84,85,86,87,88,89,90,91,93,95,96,99,100
3,7,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,29,30,31,32,33,34,35,37,40,41,42,43,47,49,50,51,52,53,58,60,62,63,64,65,66,67,68,70,71,72,75,77,78,79,81,82,83,86,88,89,90,91,92,93,95,97,98
1,3,4,6,7,9,10,12,13,15,16,17,18,19,20,21,26,27,28,29,32,33,35,36,37,38,39,41,43,44,48,50,52,53,54,58,59,60,61,62,63,64,65,67,68,70,72,74,78,79,80,81,84,85,86,88,89,90,92,94,96,97,98,100
1,2,3,4,5,7,9,13,14,15,17,18,19,21,23,25,27,28,30,31,32,33,34,35,36,39,41,42,45,47,48,50,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,73,76,77,78,79,80,82,89,91,92,93,95,96,97,98,99,100
2,3,4,6,8,9,10,11,14,15,16,17,21,22,23,25,26,29,32,33,34,35,36,38,39,42,43,45,46,47,48,49,51,54,56,57,58,59,60,61,62,63,65,69,71,72,73,75,76,77,78,81,83,84,88,90,91,93,94,95,96,97,98,99
3,4,5,6,7,8,12,13,14,15,16,19,21,22,23,24,27,28,30,31,37,38,39,41,42,43,44,45,46,47,48,49,52,53,54,55,56,57,58,60,61,64,65,67,70,72,73,75,76,78,79,82,83,86,89,90,91,92,93,94,95,97,99,100
2,3,4,6,7,9,10,11,16,17,19,20,21,22,23,24,27,28,29,30,31,32,36,37,40,41,44,46,47,48,49,50,51,53,54,55,57,58,60,61,62,63,66,68,71,72,74,75,78,80,81,82,86,87,88,91,93,94,95,96,97,98,99,100
2,4,5,7,8,9,10,11,12,14,15,16,17,20,21,25,28,29,30,32,33,36,37,38,39,40,41,46,47,48,49,50,51,52,55,57,58,59,61,63,64,65,66,67,68,70,71,75,77,78,79,80,81,83,84,85,88,89,91,94,95,97,98,99
4,6,7,8,9,10,11,12,13,14,16,17,18,21,23,24,26,27,28,29,30,31,32,33,35,38,41,43,44,48,49,50,51,53,54,55,56,60,62,63,64,69,70,71,72,73,74,75,76,77,78,79,80,81,82,84,88,90,92,93,94,95,97,99
1,3,4,7,9,10,12,13,15,16,18,19,20,22,24,25,26,27,28,29,31,34,35,36,37,38,40,41,44,45,48,50,51,53,54,55,56,57,59,60,61,62,63,67,68,69,70,75,76,77,79,80,82,83,84,85,86,88,90,91,92,93,94,97
2,3,4,5,9,12,14,15,16,17,19,20,21,22,24,25,26,27,29,32,33,34,35,36,38,40,42,43,44,46,47,49,51,52,56,57,58,60,62,66,67,68,70,71,72,73,74,75,76,77,79,80,84,85,86,88,89,91,92,93,94,97,98,99
1,3,5,6,7,10,12,13,14,15,16,17,20,21,23,25,26,27,28,31,32,33,34,35,40,42,43,46,47,48,49,50,51,54,55,56,57,58,59,60,61,62,66,67,69,72,73,74,76,77,78,79,82,83,84,85,88,91,92,93,95,97,99,100
1,3,4,5,7,8,10,11,13,14,17,18,20,22,23,24,27,28,30,31,34,35,36,37,40,41,43,45,46,47,49,50,51,52,53,56,58,59,60,62,64,66,67,69,70,71,74,75,76,77,78,80,82,84,87,90,91,93,94,96,97,98,99,100
2,3,4,8,10,13,14,15,16,18,19,20,21,22,24,25,28,29,30,31,34,35,36,37,38,39,40,41,42,43,45,48,51,52,53,54,56,57,58,60,64,66,68,69,70,71,72,73,77,78,79,83,85,87,89,90,91,92,93,94,95,97,99,100
1,2,4,5,6,7,9,13,14,16,18,20,21,23,24,25,28,29,30,31,32,33,34,36,37,39,40,43,44,45,46,48,52,54,55,56,57,61,63,64,66,67,69,70,71,73,74,75,77,78,79,80,81,82,83,84,85,86,88,90,91,92,93,97
1,3,7,8,9,10,12,13,14,16,17,19,20,21,23,24,26,30,32,33,34,35,36,38,43,44,45,46,47,48,49,50,51,54,57,58,59,60,62,63,64,65,66,67,70,72,74,75,76,77,79,80,81,84,86,88,89,90,91,92,93,95,96,100
1,2,3,7,8,10,11,13,14,15,16,17,19,21,23,25,26,27,28,29,30,31,32,33,34,36,37,39,41,42,46,50,51,52,54,57,58,60,61,62,64,65,68,70,71,73,74,75,76,77,79,80,82,84,85,87,88,90,92,93,96,97,98,99
2,4,5,6,7,8,9,12,13,14,15,16,18,20,22,24,26,27,28,29,30,31,32,33,34,37,39,41,45,46,48,49,52,53,55,56,57,59,60,62,64,67,69,70,71,73,74,75,76,78,79,84,85,86,87,88,89,91,92,93,94,95,96,98
2,3,7,8,9,10,11,12,13,14,15,16,21,23,24,25,26,27,29,31,33,34,37,38,39,40,41,43,47,48,49,50,51,53,54,56,57,58,59,61,63,64,65,66,68,69,71,74,76,78,79,80,82,83,84,85,88,90,91,92,93,96,97,99
4,6,7,8,9,10,11,12,13,15,16,18,21,22,24,25,26,27,28,31,33,34,35,36,38,39,41,43,44,46,47,49,51,53,54,55,57,58,59,60,62,63,66,67,68,73,74,75,79,80,82,83,84,85,86,87,88,89,90,94,96,97,98,100
1,5,6,7,8,9,10,11,13,14,15,16,20,22,24,25,26,28,29,30,32,34,35,37,38,39,40,41,42,47,49,50,51,52,53,54,58,59,61,62,64,65,67,70,72,73,74,75,76,77,78,82,83,85,86,87,88,90,91,92,93,95,96,100
2,3,7,9,10,12,13,14,15,16,17,20,21,22,24,25,27,28,30,31,32,33,34,35,36,37,38,40,43,45,49,50,53,55,56,58,59,62,64,65,66,68,69,70,71,72,73,75,76,78,79,80,81,84,85,86,87,88,91,94,97,98,99,100
2,4,5,6,7,8,9,12,13,16,17,18,19,20,23,24,30,31,32,35,36,38,39,40,41,43,44,45,46,47,48,50,51,53,54,56,59,60,61,63,65,66,67,68,70,71,72,73,76,77,78,79,80,82,83,84,85,86,87,88,90,94,95,100
3,5,6,10,11,12,13,14,15,19,20,21,22,23,24,25,26,27,32,33,34,35,36,37,39,41,42,43,46,47,48,50,52,53,54,55,58,60,61,62,63,64,67,69,70,71,72,74,76,77,78,79,81,83,84,85,86,87,88,89,94,98,99,100
1,2,3,4,8,9,12,13,14,15,16,17,18,21,22,25,26,27,28,30,31,32,33,35,36,38,39,40,46,47,48,50,54,55,56,57,58,60,62,63,64,65,67,69,70,71,72,74,78,80,81,82,83,85,86,87,88,90,91,92,94,98,99,100
1,4,6,7,9,10,11,12,13,14,15,18,20,22,23,25,26,27,28,29,30,32,34,36,37,42,43,45,47,48,49,50,52,53,54,55,56,58,60,61,62,63,67,68,72,73,74,75,77,80,82,83,84,85,86,87,90,91,93,94,95,96,97,99
1,2,3,6,7,8,9,12,13,15,17,19,20,22,23,24,26,28,29,31,33,34,35,37,38,39,41,42,43,44,47,50,51,52,53,55,57,59,61,62,64,65,67,69,71,72,74,75,76,77,78,80,81,82,83,84,85,86,87,89,92,95,98,100
1,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21,28,29,30,31,34,35,37,38,39,40,41,44,45,48,49,50,51,54,55,56,57,58,62,63,66,67,68,71,72,73,74,75,76,78,79,80,81,82,83,84,87,88,89,93,95,98,99,100
1,3,4,6,7,9,10,11,13,14,15,17,18,20,24,25,30,31,32,33,36,37,38,40,41,42,43,44,45,46,47,50,51,52,53,55,57,58,59,62,64,65,68,69,72,73,74,75,77,78,80,81,82,83,84,86,88,89,90,93,94,95,96,100
2,5,6,7,8,10,11,13,14,15,16,18,19,20,22,23,26,27,29,30,34,35,39,41,42,43,44,46,47,48,49,50,53,54,55,56,57,58,61,62,64,65,66,70,71,72,73,75,76,79,81,82,83,85,86,87,88,91,93,94,95,96,99,100
1,3,6,7,9,10,11,13,14,15,19,20,22,23,24,25,26,28,32,33,35,38,40,41,42,43,44,45,47,48,49,50,52,53,54,58,60,61,62,64,65,66,68,69,70,72,74,75,76,77,79,80,82,83,84,87,88,89,90,91,93,97,98,99
1,2,3,4,5,9,10,11,12,14,15,16,17,18,22,24,27,29,31,33,34,35,36,38,40,42,43,44,45,46,48,49,51,53,55,56,58,60,61,62,66,67,68,69,70,71,73,75,76,77,78,79,80,82,83,84,87,91,92,93,94,96,97,98
2,6,7,8,9,10,11,12,14,15,16,17,18,20,22,23,26,28,30,32,33,34,35,38,40,41,43,44,45,47,49,50,52,53,54,57,58,59,62,64,65,66,67,68,71,73,74,75,77,78,82,83,84,86,87,90,91,93,95,96,97,98,99,100
1,3,5,6,7,9,11,12,15,16,17,18,21,22,23,24,26,28,29,30,34,37,38,39,41,42,43,44,45,46,47,50,51,54,55,56,58,59,60,62,63,64,65,67,69,73,74,75,76,77,80,83,84,85,87,88,90,91,93,94,95,98,99,100
2,3,4,5,8,9,10,11,13,14,16,17,20,22,24,25,28,29,30,31,32,33,36,37,38,43,44,46,47,48,49,50,51,52,54,55,56,57,59,61,63,64,65,66,67,71,72,74,76,77,78,79,81,82,83,86,88,89,92,94,95,96,99,100
1,3,4,6,8,9,11,14,15,16,17,18,20,23,24,25,27,29,30,31,33,34,35,36,38,39,40,41,43,44,45,46,52,53,55,57,58,59,60,62,64,66,69,70,71,73,74,75,76,77,78,79,80,81,82,84,85,87,90,91,92,97,98,99
2,3,4,5,6,7,8,9,10,12,13,14,16,17,22,24,27,28,31,33,34,35,37,39,40,41,42,43,45,46,49,50,51,52,54,55,56,57,59,61,62,64,65,67,68,69,70,75,76,77,78,79,81,82,83,84,85,86,87,89,91,94,96,99
1,2,3,4,5,6,7,8,9,11,13,15,17,19,21,25,26,27,30,32,33,34,37,38,40,42,43,44,45,46,47,49,52,54,55,56,57,58,59,60,61,66,69,71,72,73,74,75,76,79,82,85,86,87,90,91,92,93,94,95,96,97,99,100
2,3,5,6,8,9,10,12,14,15,17,18,20,21,22,23,26,27,28,33,34,35,36,38,39,40,42,44,46,48,49,50,51,52,53,56,60,61,65,66,67,68,69,70,71,72,73,74,76,77,78,79,82,83,84,85,86,89,91,92,95,96,97,98
1,2,3,5,6,7,8,9,11,13,14,16,17,20,24,25,26,29,31,32,33,36,39,40,41,42,43,44,45,46,48,50,53,55,58,59,60,62,64,65,66,67,68,69,70,71,73,75,77,78,79,80,81,82,85,86,87,89,90,91,93,95,99,100
1,4,6,7,8,9,12,14,15,17,18,19,20,21,22,25,27,29,30,32,33,34,36,37,38,39,40,45,46,48,49,50,52,54,55,57,60,61,63,64,65,66,67,70,71,73,74,75,76,77,79,82,84,87,88,89,90,91,92,93,96,97,98,100
1,2,4,8,9,10,11,12,16,17,19,20,21,22,23,25,27,30,32,33,36,37,38,42,43,44,45,46,47,48,49,50,52,53,54,58,59,60,61,62,63,64,65,66,69,72,73,74,76,78,79,81,83,85,86,87,88,90,92,93,95,96,98,100
1,3,4,5,11,13,14,15,17,18,20,21,22,23,24,25,26,27,28,29,31,33,35,36,37,38,41,43,44,45,47,48,51,52,53,54,57,58,62,63,64,65,66,68,72,73,74,75,76,78,79,80,83,84,85,90,91,92,95,96,97,98,99,100
1,2,3,4,6,8,10,11,13,14,15,19,20,22,23,25,27,30,31,33,34,38,39,40,41,43,44,45,46,47,48,49,52,56,57,58,59,63,64,65,66,68,69,70,72,73,74,75,76,77,78,79,80,85,86,87,88,89,90,95,96,98,99,100
2,3,4,7,8,9,11,12,14,15,17,18,19,22,23,24,27,29,30,31,33,35,36,38,39,40,41,42,43,44,47,50,52,54,55,56,57,59,60,62,63,64,65,66,68,72,74,75,76,77,78,80,83,84,85,86,88,89,90,91,95,97,98,99
1,2,4,5,8,9,12,13,14,15,17,18,19,20,21,24,27,28,29,31,33,34,35,36,37,39,41,43,44,45,49,50,52,53,55,56,57,58,59,60,62,63,64,65,67,69,71,72,78,80,83,86,87,89,90,91,93,94,95,96,97,98,99,100
3,4,5,9,10,11,15,17,18,19,20,21,22,23,24,25,27,28,31,32,33,36,38,39,41,42,43,44,45,48,49,50,53,55,58,59,60,61,62,64,65,66,67,68,70,72,73,74,76,77,78,79,80,81,85,89,90,91,93,94,95,96,99,100
2,3,6,7,9,10,11,12,14,15,16,17,18,19,21,22,26,27,30,31,32,33,34,36,38,39,41,44,45,47,48,50,51,52,55,56,57,61,62,63,66,67,68,69,72,73,74,75,77,79,81,83,85,86,87,88,92,93,94,96,97,98,99,100
2,3,4,5,9,11,12,13,14,16,17,18,19,21,22,24,26,27,28,29,33,34,36,37,40,41,42,45,46,47,48,49,51,52,54,55,56,57,59,60,63,64,66,67,68,69,72,75,76,79,80,81,82,83,85,87,90,91,92,95,96,97,98,100
2,4,6,8,9,10,13,14,16,18,20,21,22,23,24,25,26,27,28,30,32,35,37,40,41,43,44,46,47,48,49,50,51,53,54,55,56,57,59,61,62,63,66,67,68,70,71,73,76,77,78,79,80,81,83,84,88,89,90,95,96,98,99,100
2,4,5,6,7,8,10,12,14,15,16,20,21,22,23,24,26,27,28,29,31,32,33,35,36,38,44,45,46,48,49,50,51,52,54,56,59,60,62,63,64,65,66,68,69,70,71,73,76,77,79,80,83,86,87,89,90,91,93,94,95,96,98,99
3,4,6,7,8,10,11,12,13,14,17,20,21,22,23,25,27,28,29,30,31,32,36,38,39,42,43,45,46,47,48,49,51,53,54,55,57,63,64,65,66,67,69,70,71,72,73,75,76,78,83,84,86,87,88,89,90,91,93,94,95,96,97,98
1,2,7,9,10,11,12,13,14,15,16,18,19,22,24,25,26,27,29,30,31,32,35,36,37,39,41,42,45,47,48,50,53,55,58,60,61,62,63,64,65,66,69,70,71,72,73,75,76,77,78,80,81,82,83,84,85,88,90,92,93,95,97,100
1,3,4,7,8,9,11,12,13,15,16,18,19,21,23,24,26,27,29,30,33,37,38,39,41,42,45,46,47,48,49,50,51,53,54,56,58,59,62,65,66,67,68,69,70,71,72,74,77,78,80,83,86,87,88,90,91,92,94,95,96,97,98,100
1,2,5,6,8,9,10,11,12,18,19,20,22,23,24,25,26,28,29,32,33,34,35,36,37,38,40,41,43,46,48,50,52,53,54,55,57,58,60,62,64,65,66,68,69,71,72,74,76,77,78,79,81,82,86,89,90,91,92,93,95,97,99,100
3,4,6,7,8,10,11,12,14,15,18,19,20,21,23,25,27,28,31,34,35,37,39,40,43,44,45,46,47,48,49,50,51,52,54,55,56,58,60,61,63,64,65,67,68,71,72,75,77,78,79,80,83,85,87,88,90,91,92,93,95,96,97,99
1,3,4,5,6,9,11,14,15,16,17,18,20,22,23,24,26,27,28,29,30,31,35,36,37,38,39,43,44,47,49,50,52,53,57,58,59,62,63,64,65,66,67,68,71,73,74,75,77,78,80,81,82,83,87,88,90,91,92,95,96,97,98,99
1,2,5,6,7,8,9,11,12,13,15,16,17,21,23,25,26,27,29,30,34,35,36,37,39,40,41,42,44,46,47,48,51,52,56,57,58,59,60,62,63,66,68,69,71,72,73,74,76,77,78,79,80,81,84,87,88,89,91,92,93,94,95,100
1,3,5,6,7,8,9,11,14,15,16,17,19,20,23,25,26,28,29,32,34,36,37,39,40,41,42,44,45,47,48,49,52,54,56,57,58,59,61,62,64,65,67,70,71,72,73,75,76,79,80,82,83,84,86,88,89,90,91,93,94,95,98,100
1,2,3,4,5,6,7,8,9,10,11,14,18,19,23,24,27,28,29,30,31,32,34,39,42,43,44,45,47,48,49,50,51,52,53,54,57,58,63,65,66,67,68,69,70,71,72,73,77,78,79,80,83,84,85,86,87,90,91,94,96,97,99,100
1,3,4,5,6,7,10,13,15,17,18,19,20,21,23,24,26,28,31,32,34,37,38,39,40,42,43,44,46,47,48,49,53,54,56,58,60,61,62,63,64,65,66,70,71,72,74,75,79,81,82,83,84,85,88,89,90,92,93,94,95,96,98,99
2,3,6,7,9,11,12,13,14,15,18,19,20,21,23,24,27,28,29,30,31,33,37,38,40,41,42,43,44,46,47,48,51,53,54,56,57,59,60,61,62,66,68,69,70,71,73,74,76,78,80,82,83,85,86,89,90,91,93,94,97,98,99,100
2,6,7,8,9,12,13,14,15,17,18,19,20,22,23,25,27,28,29,30,31,32,33,34,36,39,40,42,46,47,48,49,52,53,54,56,57,58,59,61,62,64,65,66,68,71,73,75,77,80,81,82,83,84,85,89,90,92,93,94,96,97,99,100
1,2,3,4,5,6,7,8,9,12,13,15,20,21,23,25,26,27,30,32,34,35,36,37,38,41,42,44,45,47,49,50,51,52,53,55,57,58,59,61,62,64,65,67,69,73,74,75,78,82,83,84,85,86,89,90,92,93,94,95,96,97,98,99
1,4,5,6,8,9,10,11,12,13,15,17,19,21,22,23,27,28,29,34,35,36,37,39,41,42,43,45,46,47,48,50,51,52,53,54,56,57,58,61,62,64,66,67,72,73,74,75,76,77,79,80,81,82,84,86,89,90,91,92,94,96,97,100
1,2,3,5,9,11,12,13,14,15,18,19,20,21,23,25,26,27,28,29,30,31,32,37,38,41,42,43,44,48,49,50,51,53,57,59,61,63,64,65,66,67,69,70,71,72,73,74,77,78,80,81,84,86,89,90,91,92,94,95,97,98,99,100
1,2,3,4,5,9,10,11,12,16,18,19,21,22,23,25,26,30,32,34,38,39,40,41,42,43,44,46,47,48,49,50,51,53,54,56,57,59,60,62,65,67,68,69,70,71,73,74,77,78,79,80,81,84,85,86,88,89,91,92,93,97,99,100
1,3,6,8,9,10,11,13,15,16,19,20,21,22,24,25,29,30,31,32,34,35,37,39,41,42,43,44,46,48,49,50,51,52,53,55,57,60,62,63,64,65,66,70,71,72,74,75,77,78,79,80,83,84,86,89,91,92,94,95,97,98,99,100
3,5,7,10,11,12,13,14,15,16,17,18,19,22,23,25,29,30,31,33,34,36,37,39,41,42,43,44,46,47,49,50,52,53,54,56,58,59,61,63,64,66,67,68,69,70,74,75,76,78,79,81,82,83,84,85,89,90,91,93,94,95,98,99
2,3,5,6,7,8,9,10,12,13,15,16,19,22,24,25,29,30,32,33,34,35,37,39,40,41,42,44,45,46,47,50,51,55,56,57,58,59,60,62,64,65,66,67,68,69,72,73,76,78,80,81,85,86,88,90,91,92,93,95,96,97,98,100
2,3,4,5,6,10,12,13,14,16,17,18,20,21,23,24,28,32,33,35,36,37,38,40,41,42,43,44,45,46,47,50,52,54,55,57,59,60,63,64,65,67,68,69,70,71,73,75,79,80,81,82,83,85,86,87,88,89,90,92,93,94,95,100
3,4,6,7,8,9,10,14,15,16,19,20,21,22,24,25,26,27,28,31,32,33,35,36,37,38,40,45,46,47,49,50,51,53,54,55,56,57,58,61,62,66,67,69,72,73,74,75,77,78,79,80,81,83,85,86,87,90,93,94,95,96,97,99
1,2,3,4,5,9,11,12,13,14,15,19,21,22,23,25,28,29,30,31,32,33,35,36,37,38,39,40,44,47,48,50,53,55,58,59,60,61,62,64,65,66,69,70,71,72,73,75,76,77,78,80,82,83,85,88,89,90,91,92,95,96,97,99
2,3,4,8,9,10,11,12,13,14,17,20,21,23,24,25,27,28,29,30,31,33,34,35,38,39,42,43,44,47,49,50,51,52,53,54,55,56,57,59,60,62,63,64,67,68,71,74,76,80,81,82,83,84,85,86,87,88,90,92,93,94,97,99
1,2,4,5,6,7,9,11,13,14,16,17,19,20,22,24,26,27,28,30,31,32,33,34,36,40,42,44,47,48,49,50,51,53,56,57,59,60,62,65,66,67,70,71,72,73,74,75,77,78,80,83,84,85,87,88,92,93,94,95,96,97,99,100
1,2,4,5,6,7,8,12,13,15,16,18,20,23,24,25,27,29,30,31,35,37,38,40,41,42,43,44,45,47,48,49,51,54,55,56,57,59,61,62,63,64,66,68,69,72,74,75,76,77,79,80,81,84,85,87,90,91,93,94,95,97,99,100
1,2,3,4,5,6,8,10,11,13,16,17,22,23,24,25,27,30,31,32,33,37,38,40,41,44,45,46,47,48,49,50,55,56,57,58,59,60,61,62,63,67,68,71,72,73,74,75,78,80,81,82,83,84,85,86,87,88,92,93,94,96,98,99
3,7,8,11,12,13,14,15,16,17,18,19,20,22,24,25,27,28,30,31,32,33,35,38,39,40,41,43,44,45,47,48,52,56,57,58,59,60,64,65,66,67,68,70,71,72,73,74,76,77,78,79,81,82,83,85,87,89,90,91,92,96,97,99
1,3,4,6,7,8,10,11,13,15,17,19,21,23,24,25,29,30,31,32,33,34,36,38,39,41,42,45,47,48,49,50,51,52,53,54,56,57,58,60,61,62,64,67,68,70,73,75,76,77,78,79,80,81,82,84,85,86,88,90,92,94,99,100
1,2,3,5,6,7,10,11,12,13,14,15,17,19,21,22,26,28,30,31,32,35,37,38,39,40,43,44,46,47,48,49,51,52,53,54,56,57,58,63,64,65,68,69,70,71,73,74,76,77,80,81,82,83,84,86,87,89,90,94,95,96,97,100
1,2,3,4,5,6,7,8,11,12,13,15,17,19,20,24,27,28,29,31,35,36,38,39,40,42,43,46,47,48,49,50,51,52,54,55,60,61,62,63,64,65,66,67,68,69,71,73,76,77,78,79,81,82,84,85,87,88,91,92,94,98,99,100
1,2,3,5,6,7,9,10,13,14,16,18,20,21,22,24,26,30,31,32,33,35,36,37,39,41,43,45,46,47,49,50,51,53,56,58,59,60,61,64,66,68,69,70,71,73,74,75,76,78,80,82,85,87,88,89,93,94,95,96,97,98,99,100
1,3,4,5,8,9,11,12,13,15,16,17,19,21,22,23,26,28,29,31,32,33,34,35,36,39,40,41,44,45,49,50,51,52,57,59,60,61,62,63,65,67,68,71,72,73,74,75,79,80,82,83,84,85,87,88,89,91,93,95,96,98,99,100
4,5,6,8,9,10,11,13,14,15,17,18,19,22,23,25,26,31,32,34,35,38,40,41,42,43,44,46,47,48,49,50,51,52,54,55,57,58,59,60,61,62,63,66,67,68,69,74,76,77,78,80,81,82,83,84,86,88,90,91,92,93,95,100
1,3,4,5,6,8,10,12,14,16,17,20,21,22,23,24,26,27,28,30,31,34,36,37,38,39,40,41,42,44,46,50,51,52,55,56,57,59,60,62,63,64,66,67,68,69,72,75,77,78,79,80,86,87,88,89,90,91,92,93,94,95,97,98
1,2,3,4,7,9,10,12,13,14,15,16,17,19,21,22,26,27,28,29,31,32,34,35,39,40,41,44,46,47,48,49,52,53,55,56,57,60,63,65,66,67,68,69,70,71,72,75,76,77,78,80,81,82,83,84,89,90,93,94,95,97,99,100
2,3,4,8,9,12,13,15,17,18,19,20,21,22,24,25,27,28,29,30,32,33,34,35,36,37,38,40,44,46,47,50,52,53,55,56,60,62,64,66,68,69,70,71,72,73,74,75,76,77,79,80,81,83,84,88,90,93,94,95,96,98,99,100
2,3,4,5,6,7,8,9,12,13,16,17,19,20,22,25,27,28,29,30,32,33,37,38,39,41,42,43,45,46,48,49,53,54,55,58,59,61,63,64,65,66,67,68,69,71,72,73,76,77,78,80,85,86,87,88,89,90,92,93,94,95,99,100
1,3,5,7,8,9,10,11,13,17,19,20,22,23,24,25,26,27,28,29,30,31,32,33,37,39,41,44,46,47,49,50,51,53,55,57,59,60,61,62,64,66,67,68,69,73,74,75,76,78,79,80,81,83,86,88,89,90,91,93,94,95,97,100
3,5,7,9,10,11,12,13,16,17,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,38,39,42,46,47,50,51,54,55,56,57,58,59,61,62,63,64,69,70,71,72,73,76,77,78,80,81,84,86,87,89,92,93,94,95,96,98,99
